address,village,takeup_survey,age,agpop,ricearea_2010,disaster_prob,male,default,intensive,risk_averse,literacy,pre_takeup_rate
beilian2,beilian,0,62,2,10,30,1,1,0,0,0,.071428575
beilian2,beilian,1,63,5,15,100,1,1,0,0,1,.071428575
beilian2,beilian,1,44,3,7.5,20,1,1,1,0,1,.071428575
beilian2,beilian,1,76,6,,50,1,1,1,.60000002,1,.071428575
beilian2,beilian,0,52,6,11,0,1,1,1,.19999999,1,.071428575
beilian2,beilian,1,53,5,35,0,1,1,0,0,1,.071428575
beilian2,beilian,0,72,10,2,40,1,1,0,0,1,.071428575
beilian2,beilian,1,43,6,19,20,1,1,0,0,1,.071428575
beilian2,beilian,1,78,7,14,30,1,1,1,.39999998,1,.071428575
beilian4,beilian,1,73,2,5,50,1,0,0,0,1,.40000001
beilian4,beilian,1,58,6,20,20,1,0,1,0,1,.40000001
beilian4,beilian,1,67,2,3,40,1,0,0,.80000001,1,.40000001
beilian4,beilian,1,60,2,10,50,1,0,0,0,1,.40000001
beilian4,beilian,0,43,3,11,40,1,0,0,.39999998,1,.40000001
beilian4,beilian,0,36,4,16,40,1,0,1,0,,.40000001
beilian4,beilian,1,62,6,12,40,1,0,1,.39999998,1,.40000001
beixing4,beixing,0,52,5,12,20,1,0,0,0,1,.33333334
beixing4,beixing,0,57,6,10,20,1,0,0,.19999999,1,.33333334
beixing4,beixing,1,59,4,11,20,1,0,1,0,1,.33333334
beixing4,beixing,0,42,5,13,50,1,0,1,.39999998,1,.33333334
beixing4,beixing,0,56,4,10,50,1,0,1,0,0,.33333334
beixing5,beixing,1,61,2,22,20,1,1,1,0,1,.5
beixing5,beixing,0,37,4,15,40,1,1,0,0,1,.5
beixing712,beixing,1,48,6,80,40,1,1,0,0,1,.42105263
beixing712,beixing,0,44,4,20,50,1,1,0,0,1,.42105263
beixing712,beixing,0,51,5,11,40,1,1,0,0,0,.42105263
beixing712,beixing,0,52,6,19,20,1,1,1,.39999998,1,.42105263
beixing712,beixing,0,33,4,5.7,50,1,1,0,0,1,.42105263
beixing712,beixing,0,45,4,6.8,40,1,1,1,.60000002,1,.42105263
beixing712,beixing,1,45,10,15,20,1,1,0,0,1,.42105263
beixing712,beixing,0,45,4,10,20,1,1,1,.19999999,1,.42105263
beixing712,beixing,1,74,2,7,20,1,1,1,0,0,.42105263
caijia1,caijia,1,59,10,12,20,1,0,1,.80000001,1,.40000001
caijia1,caijia,1,40,4,18,20,1,0,1,.80000001,1,.40000001
caijia1,caijia,0,56,4,6,50,1,0,1,0,1,.40000001
caijia1,caijia,0,65,4,3,50,1,0,0,0,1,.40000001
caijia1,caijia,0,63,3,21,50,1,0,0,0,0,.40000001
caijia1,caijia,0,64,6,5,50,1,0,1,0,1,.40000001
caijia1,caijia,1,50,5,18,40,1,0,0,.60000002,1,.40000001
caijia1,caijia,1,76,4,5,30,1,0,0,0,0,.40000001
