business_name,inspection_score,Year,NumberofLocations,Weekend
MCGINLEYS PUB,94,2017,9,FALSE
VILLAGE INN #1,86,2015,66,FALSE
RONNIE SUSHI 2,80,2016,79,FALSE
FRED MEYER - RETAIL FISH,96,2003,86,FALSE
PHO GRILL,83,2017,53,FALSE
TACO KING #2,95,2008,89,FALSE
AJ'S RIB-A-GO-GO,94,2017,28,FALSE
MT SPURR SCHOOL,100,2005,37,FALSE
RAY'S PLACE LLC,92,2007,109,FALSE
SOUTHSIDE BISTRO,91,2005,59,FALSE
TACO BELL #18131,98,2015,45,FALSE
NEW ASIA RESTAURANT,94,2015,32,FALSE
JOJO'S HYPER BEAN LLC,96,2017,11,FALSE
MULDOON ELEMENTARY SCHOOL,100,2006,40,FALSE
SWEET PINK PEPPER,92,2001,154,FALSE
KING CAREER CENTER EARLY CHILDHOOD,100,2008,25,FALSE
CHILD'S EARLY LEARNING CENTER,91,2006,29,FALSE
BURGER JIM #1,88,2009,101,FALSE
EMBASSY SUITES - SPA,100,2017,12,FALSE
HUMPY'S SUB-ZERO,93,2016,38,FALSE
DRAGON RESTAURANT,85,2016,191,FALSE
FIORI D'ITALIA,92,2007,39,FALSE
"ALASKA CLUB SOUTH, THE",100,2008,54,FALSE
EAST HIGH SCHOOL/P & R,100,2000,18,FALSE
SAND LAKE ELEMENTARY SCHOOL,100,2015,19,FALSE
GALLO'S LOUNGE,94,2007,32,FALSE
BRIGHT BEGINNINGS EARLY LEARNING,89,2007,134,FALSE
BENSON SECONDARY SCHOOL,100,2009,43,FALSE
ESPRESSO ESPRESSIONS CAFE & EATERY,90,2009,110,FALSE
DIMOND HIGH SCHOOL,100,2003,34,FALSE
SHRIMP GUYS SEAFOOD #2,100,2015,8,FALSE
SOUTHSIDE BISTRO,94,2007,59,FALSE
BEAR MOUNTAIN GRILL,99,2000,81,FALSE
5TH AVENUE DELI,86,2007,70,FALSE
CAPONE'S PIZZA,91,2006,61,FALSE
LOS ARCOS RESTAURANT-BAR,100,2007,13,FALSE
BPX EXPLORATION CAFE,93,2008,43,FALSE
BURGER JIM #1,81,2007,101,FALSE
CROWNE PLAZA HOTEL/JUNO,82,2017,59,FALSE
ORIENTAL GARDEN,82,2016,23,FALSE
FRED MEYER - BAKERY,100,2007,88,FALSE
"HEALTH COURT FOODS, INC.",100,2017,5,FALSE
PEKING WOK,72,2009,271,FALSE
PEKING WOK,83,2009,271,FALSE
BRIGHT BEGINNINGS ELC-EAGLE RIVER,100,2015,69,FALSE
SULLIVAN ARENA N E,100,2007,19,FALSE
NEW SAGAYA MIDTOWN MARKET - DELI,82,2006,87,FALSE
GINGER,94,2017,58,FALSE
SUBWAY STORE #23885,98,2016,26,FALSE
MOUNTAIN VIEW ELEM SCHOOL,100,2007,45,FALSE
ARCTIC ROADRUNNER #2,91,2017,36,FALSE
PEGGYS RESTAURANT,87,2007,86,FALSE
VILLAGE INN #1,90,2006,66,FALSE
EAGLE RIVER ELEMENTARY SCHOOL,100,2003,35,FALSE
DRAGON RESTAURANT,91,2007,191,FALSE
PROVIDENCE HOSPITAL KITCHEN,100,2007,42,FALSE
VILLAGE INN #2,96,2004,81,FALSE
EMBASSY SUITES - POOL,100,2017,11,FALSE
HUFFMAN SCHOOL,100,2000,37,FALSE
COZY MARKET,100,2017,6,FALSE
SUBWAY OF ALASKA #14372,98,2009,62,FALSE
BELLA VISTA,98,2001,56,FALSE
UNCLE JOE'S PIZZERIA #4,98,2006,40,FALSE
ROMANO'S BAR,100,2000,20,FALSE
TEXAS ROADHOUSE - BAR,100,2015,11,FALSE
H2OASIS ALASKA TUB,100,2008,58,FALSE
ANCHORAGE CORRECTIONAL FACILITY WEST,93,2016,58,FALSE
CENTURY THEATRE,100,2006,31,FALSE
HOLIDAY STATIONSTORE #607 SNACK,93,2009,39,FALSE
CARRS #1807 - SERVICE MEAT,100,2000,27,FALSE
GORSUCH BOY SCOUT CAMP,92,2006,34,FALSE
SICILY'S PIZZA,90,2016,323,FALSE
CARRS #1817 - BAKERY,91,2003,45,FALSE
BASKIN ROBBINS,95,2016,75,FALSE
PEKING WOK,100,2015,271,FALSE
HILAND MOUNTAIN CORRECTIONAL CTR,86,2008,51,FALSE
CARRS #1802 - DELI,90,2004,56,FALSE
LAKE HOOD ELEMENTARY,100,2007,36,FALSE
BABYCAKES,100,2017,5,FALSE
UAA - BEAR NECESSITIES,100,2015,13,FALSE
PEANUT FARM SPORTS BAR & GRILL,95,2019,50,FALSE
TRAILSIDE ELEMENTARY SCHOOL,100,2004,38,FALSE
MCDONALD'S,100,2000,646,FALSE
DARWINS THEORY BAR,95,2009,15,FALSE
BUSH COMPANY #2,87,2016,32,FALSE
DON JOSE'S MEXICAN RESTAURANT,94,2000,140,FALSE
LAHN PAD-THAI RESTAURANT,96,2008,102,FALSE
FAIRFIELD INN & SUITES - HOT TUB,100,2007,28,FALSE
TWIN DRAGON,76,2007,127,FALSE
RAINBOW VIDEO & ORIENTAL STORE,99,2000,17,FALSE
KOBE TEPPAYAKI HOUSE,84,2019,151,FALSE
FRED MEYER - DELI,93,2005,189,FALSE
SPARE ROOM (HAROLD'S),89,2007,30,FALSE
MEKONG RESTAURANT,86,2007,86,FALSE
F STREET STATION,93,2005,30,FALSE
FAITH DAY CARE & LEARNING CENTER,96,2008,43,FALSE
HUMPY'S GREAT ALASKAN ALEHOUSE,98,2006,78,FALSE
CAMP FIRE - ABBOTT LOOP,94,2002,32,FALSE
SUBWAY OF ALASKA #4803,99,2007,53,FALSE
SILVERTIP GRILL,73,2005,62,FALSE
K STREET CONVENIENCE-DELI,100,2015,11,FALSE
HULA HANDS RESTAURANT,86,2007,181,FALSE
LUIGI'S PIZZA,79,2009,117,FALSE
SILK RESTAURANT,85,2017,35,FALSE
APA GROCERIES,93,2001,47,FALSE
SIDE STREET ESPRESSO,98,2008,16,FALSE
PEANUT FARM SPORTS BAR & GRILL,95,2019,50,FALSE
WESTMARK - SOLSTICE CAFE,93,2005,47,FALSE
SHRIMP GUYS SEAFOOD #2,100,2017,8,FALSE
RONNIE SUSHI 2,91,2016,79,FALSE
ICHIBAN RESTAURANT,86,2008,125,FALSE
H2OASIS INDOOR WATERPARK RESTAURANT,100,2005,95,FALSE
HEARTH ARTISAN PIZZA,92,2017,21,FALSE
MCDONALD'S,87,2009,646,FALSE
ORGANIC OASIS HEALTH FOODS,85,2008,96,FALSE
DING HOW RESTAURANT,87,2017,196,FALSE
CHUGIAK HIGH SCHOOL,100,2007,42,FALSE
CARRS #1812 - ORIENT EXPRESS,97,2017,34,FALSE
THAI SIAM RESTAURANT,81,2015,56,FALSE
"PERFECT CUP PLUS, THE",81,2009,91,FALSE
KALADI BROTHERS COFFEE - DOWNSTAIRS,95,2009,30,FALSE
L'AROMA BAKERY & DELI - RESTAURANT,87,2015,161,FALSE
NORTHERN LIGHTS ABC SCHOOL,100,2006,36,FALSE
HARLEY'S OLD THYME CAFE,97,2017,5,FALSE
BAXTER ELEMENTARY SCHOOL,100,2006,38,FALSE
JAVA THE HUT,81,2009,79,FALSE
LUIGI'S PIZZA,88,2016,117,FALSE
CARL'S JR RESTAURANT,90,2017,254,FALSE
FRED MEYER - DELI,95,2017,189,FALSE
KALADI BROTHERS COFFEE,95,2007,99,FALSE
SPRING HILL ELEM CAFETERIA,100,2008,37,FALSE
ANCHORAGE COMMUNITY YMCA - POOL,100,2005,53,FALSE
CARRS #1807 - GROCERY,93,2001,36,FALSE
CARRS #1805 - GROCERY,94,2008,42,FALSE
NORDSTROM - CAFE EXPRESS,93,2007,38,FALSE
UAA - CUDDY CENTER,94,2005,57,FALSE
HANSHEW MIDDLE SCHOOL,100,2007,40,FALSE
HUMPY'S GREAT ALASKAN ALEHOUSE,90,2002,78,FALSE
BRIGHT BEGINNINGS ELC-EAGLE RIVER,95,2015,69,FALSE
MEKONG RESTAURANT,82,2007,86,FALSE
ANCH HILTON - HOOPER BAY,88,2008,76,FALSE
WENDY'S #1,99,2003,63,FALSE
TACO BELL #2181,100,2009,35,FALSE
5TH AVENUE DELI,88,2007,70,FALSE
VIP DBA YOUNG BIN RESTAURANT,90,2004,115,FALSE
CARRS #520 - GROCERY,95,2001,36,FALSE
CHILDREN'S WORLD,88,2008,58,FALSE
BRADLEY HOUSE,98,2004,54,FALSE
